path	disposition	reason
conformance/interfaces/clock/4-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_getres/2-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_getres/4-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_gettime/6-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_nanosleep/1-2.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_nanosleep/15-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_nanosleep/4-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_nanosleep/5-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_nanosleep/6-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_nanosleep/8-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_settime/15-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_settime/16-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_settime/18-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/clock_settime/3-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/difftime/2-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mlock/2-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mlock/4-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mlock/7-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mlockall/2-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mlockall/7-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mlockall/9-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mmap/16-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mmap/17-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mmap/20-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_getattr/1-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_getattr/5-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_getattr/6-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_notify/6-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_notify/7-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_receive/4-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_receive/9-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_setattr/3-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_setattr/4-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_timedreceive/12-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_timedreceive/16-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_timedreceive/4-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_unlink/3-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/mq_unlink/4-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/munlock/2-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/munlock/9-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/munlockall/6-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/munmap/10-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/munmap/7-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/nanosleep/4-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/pthread_atfork/3-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/pthread_attr_getdetachstate/2-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/pthread_attr_getinheritsched/2-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/pthread_attr_getschedparam/2-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/pthread_attr_getschedpolicy/1-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/pthread_attr_getschedpolicy/3-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/pthread_attr_getscope/2-1.sh	test	script directly records the assertion as tested implicitly and exits success
conformance/interfaces/pthread_attr_getstack/2-1.sh	test	script directly records the assertion as tested implicitly and exits success
