path	disposition	reason
conformance/definitions/mqueue_h/1-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/definitions/mqueue_h/10-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/definitions/mqueue_h/11-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/definitions/mqueue_h/2-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/definitions/mqueue_h/3-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/definitions/mqueue_h/4-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/definitions/mqueue_h/5-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/definitions/mqueue_h/6-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/definitions/mqueue_h/7-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/definitions/mqueue_h/8-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/definitions/mqueue_h/9-1.c	exclude-stub	main prints Not Implemented and immediately returns PTS_UNTESTED
conformance/interfaces/aio_fsync/1-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_fsync/10-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_fsync/11-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_fsync/13-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_fsync/2-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_fsync/3-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_fsync/5-1.c	runtime-path	result defaults to PTS_UNTESTED but becomes PASS when aio_error reports EINPROGRESS
conformance/interfaces/aio_fsync/6-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_fsync/7-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_read/12-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_read/13-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_read/14-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_read/15-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_read/2-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_read/6-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_suspend/2-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_suspend/5-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_write/10-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_write/11-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_write/12-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_write/13-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/aio_write/4-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/clock_settime/1-1.c	runtime-path	non-root guard returns PTS_UNTESTED while the privileged assertion can PASS or FAIL
conformance/interfaces/clock_settime/19-1.c	runtime-path	non-root guard returns PTS_UNTESTED while the privileged assertion can PASS or FAIL
conformance/interfaces/clock_settime/4-1.c	runtime-path	non-root guard returns PTS_UNTESTED while the privileged assertion can PASS or FAIL
conformance/interfaces/clock_settime/5-1.c	runtime-path	non-root guard returns PTS_UNTESTED while the privileged assertion can PASS or FAIL
conformance/interfaces/clock_settime/5-2.c	runtime-path	non-root guard returns PTS_UNTESTED while the privileged assertion can PASS or FAIL
conformance/interfaces/clock_settime/7-1.c	runtime-path	non-root guard returns PTS_UNTESTED while the privileged assertion can PASS or FAIL
conformance/interfaces/clock_settime/7-2.c	runtime-path	non-root guard returns PTS_UNTESTED while the privileged assertion can PASS or FAIL
conformance/interfaces/clock_settime/8-1.c	runtime-path	non-root guard returns PTS_UNTESTED while the privileged assertion can PASS or FAIL
conformance/interfaces/lio_listio/16-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/lio_listio/17-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/lio_listio/19-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/lio_listio/20-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/lio_listio/21-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/lio_listio/22-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/lio_listio/23-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/lio_listio/24-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/lio_listio/25-1.c	exclude-stub	source marks the method UNTESTED and has no PASS result
conformance/interfaces/mlock/speculative/12-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/mlockall/speculative/15-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/mmap/11-2.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/mmap/11-3.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/mmap/27-1.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/mq_close/5-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_open/10-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_open/14-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_open/17-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_open/22-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_open/24-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_open/25-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_open/28-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_open/30-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_open/4-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_send/6-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_timedsend/17-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_timedsend/6-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/mq_unlink/2-3.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/pthread_attr_setscope/5-1.c	exclude-stub	constant if (1) returns PTS_UNTESTED before the unreachable PASS code
conformance/interfaces/pthread_mutex_init/speculative/5-2.c	exclude-stub	Linux returns UNSUPPORTED and every other implementation returns PTS_UNTESTED
conformance/interfaces/sched_getparam/6-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/sched_getscheduler/2-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_getscheduler/7-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/sched_setparam/12-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/13-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/14-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/15-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/16-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/17-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/18-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/19-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/23-6.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/sched_setparam/26-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/sched_setparam/3-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/6-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/7-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setparam/8-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setscheduler/10-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setscheduler/11-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setscheduler/12-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setscheduler/13-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setscheduler/14-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setscheduler/17-6.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/sched_setscheduler/2-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setscheduler/20-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/sched_setscheduler/5-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setscheduler/6-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setscheduler/7-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sched_setscheduler/9-1.c	exclude-stub	implemented configuration has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sem_open/3-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/sem_post/8-1.c	runtime-path	child setup path returns PTS_UNTESTED while the parent assertion can PASS or FAIL
conformance/interfaces/shm_open/10-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/12-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/19-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/2-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/24-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/27-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/29-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/3-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/32-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/shm_open/34-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/shm_open/36-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/42-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/6-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/shm_open/7-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
